villes,latitudes,longitudes,temperatures,pression,humidité,vitesses_vent,directions_vent,levers_soleil,couchers_soleil
Paris,48.8534,2.3488,12.03,1025,49,7.72,60,2023-04-03 05:24:51,2023-04-03 18:22:48
Marseille,43.3333,5.5,17.69,1009,37,3.58,320,2023-04-03 05:16:58,2023-04-03 18:05:29
Lyon,45.75,4.5833,7.91,1018,74,1.34,36,2023-04-03 05:18:42,2023-04-03 18:11:05
Toulouse,43.6043,1.4437,13.09,1019,62,6.17,310,2023-04-03 05:32:58,2023-04-03 18:21:56
Nice,44.0,7.25,8.74,1010,58,2.72,211,2023-04-03 05:09:27,2023-04-03 17:58:59
Nantes,47.1667,-1.5833,9.22,1024,71,4.63,40,2023-04-03 05:42:06,2023-04-03 18:37:00
Strasbourg,48.5834,7.743,7.93,1025,49,7.2,60,2023-04-03 05:03:34,2023-04-03 18:00:56
Montpellier,43.6109,3.8772,18.18,1012,38,6.69,20,2023-04-03 05:23:14,2023-04-03 18:12:11
Bordeaux,44.8404,-0.5805,14.15,1020,54,4.12,50,2023-04-03 05:40:04,2023-04-03 18:31:01
Lille,50.633,3.0586,11.45,1027,42,5.66,50,2023-04-03 05:20:16,2023-04-03 18:21:42
Rennes,48.1667,-1.6667,11.04,1024,62,2.57,90,2023-04-03 05:41:32,2023-04-03 18:38:14
Reims,49.1667,4.0833,10.88,1025,50,5.66,60,2023-04-03 05:17:38,2023-04-03 18:16:09
Caen,49.0833,-0.4167,10.12,1026,62,4.12,40,2023-04-03 05:35:41,2023-04-03 18:34:05
Saint-Étienne,45.4167,4.5,5.58,1018,75,4.47,359,2023-04-03 05:19:18,2023-04-03 18:11:08
Toulon,43.1167,5.9333,18.53,1008,55,7.72,230,2023-04-03 05:15:24,2023-04-03 18:03:35
Grenoble,45.0833,5.8333,1.98,1017,92,2.75,341,2023-04-03 05:14:15,2023-04-03 18:05:32
Dijon,47.3167,5.0167,8.94,1021,66,5.66,40,2023-04-03 05:15:37,2023-04-03 18:10:42
Angers,47.4667,-0.55,13.22,1023,47,5.32,51,2023-04-03 05:37:43,2023-04-03 18:33:07
Ajaccio,42.0,8.9167,17.99,1007,40,1.54,210,2023-04-03 05:04:19,2023-04-03 17:50:48
Saint-Denis,48.9167,2.3333,12.08,1025,48,7.72,60,2023-04-03 05:24:51,2023-04-03 18:22:55
